coachID,year,tmID,coach_tenure,win_rate_prev_team_1yr,win_rate_prev_team_2yr,win_rate_prev_coach_1yr,win_rate_prev_coach_2yr,change_rate_prev,coach_of_the_year
meadoma99w,9,ATL,0,0.0,0.0,0.0,0.0,0.0,0
meadoma99w,10,ATL,1,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,1
meadoma99w,11,ATL,2,0.5294117647058824,0.11764705882352941,0.5294117647058824,0.11764705882352941,0.0,0
dunntr01wc,1,CHA,0,0.0,0.0,0.0,0.0,0.0,0
donovan99w,2,CHA,0,0.25,0.0,0.28125,0.0,0.0,0
donovan99w,3,CHA,1,0.5625,0.25,0.5625,0.28125,0.0,0
laceytr99w,4,CHA,0,0.5625,0.5625,0.0,0.0,0.0,0
laceytr99w,5,CHA,1,0.5294117647058824,0.5625,0.5294117647058824,0.0,0.0,0
laceytr99w,6,CHA,0,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.0,0
boguemu01w,7,CHA,0,0.17647058823529413,0.47058823529411764,0.3,0.0,0.16666666666666666,0
cowenda01w,7,CHI,0,0.0,0.0,0.0,0.0,0.0,0
overtbo99w,8,CHI,0,0.14705882352941177,0.0,0.0,0.0,0.0,0
keyst99wc,9,CHI,0,0.4117647058823529,0.14705882352941177,0.0,0.0,0.0,0
keyst99wc,10,CHI,1,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.0,0.0,0
chatmda99w,11,CHI,0,0.47058823529411764,0.35294117647058826,0.0,0.0,0.0,0
hugheda99w,1,CLE,0,0.0,0.0,0.0,0.0,0.0,0
hugheda99w,2,CLE,1,0.53125,0.0,0.53125,0.0,0.0,1
hugheda99w,3,CLE,2,0.6875,0.53125,0.6875,0.53125,0.0,0
hugheda99w,4,CLE,3,0.3125,0.6875,0.3125,0.6875,0.0,0
thibami99w,4,CON,0,0.0,0.0,0.0,0.0,0.0,0
thibami99w,5,CON,1,0.5294117647058824,0.0,0.5294117647058824,0.0,0.0,0
