playerID,year,overall_score_prev_1yr,overall_score_prev_2yr,overall_score_prev_3yr,allstar_mvp
abrossv01w,2,0.0,0.0,0.0,0
abrossv01w,3,27.171554213704383,0.0,0.0,0
abrossv01w,4,23.81026722925457,27.171554213704383,0.0,0
abrossv01w,5,23.403157894736836,23.81026722925457,27.171554213704383,0
abrossv01w,6,17.629725310660564,23.403157894736836,23.81026722925457,0
abrossv01w,7,20.67185600748013,17.629725310660564,23.403157894736836,0
abrossv01w,8,17.437295582133267,20.67185600748013,17.629725310660564,0
abrossv01w,9,23.738353730754046,17.437295582133267,20.67185600748013,0
adairje01w,11,0.0,0.0,0.0,0
adamsda01w,11,0.0,0.0,0.0,0
adamsjo01w,4,0.0,0.0,0.0,0
aguilel01w,3,0.0,0.0,0.0,0
ajavoma01w,9,0.0,0.0,0.0,0
ajavoma01w,10,15.912800331400165,0.0,0.0,0
ajavoma01w,11,15.809683794466402,15.912800331400165,0.0,0
aldrima01w,1,0.0,0.0,0.0,0
aldrima01w,2,8.588250319284803,0.0,0.0,0
alhalta01w,2,0.0,0.0,0.0,0
allench01w,9,0.0,0.0,0.0,0
amachma01w,2,0.0,0.0,0.0,0
amachma01w,4,0.0,0.0,0.0,0
amachma01w,6,6.685714285714285,0.0,0.0,0
ambermo01w,3,0.0,0.0,0.0,0
anderam01w,7,0.0,0.0,0.0,0
anderch01w,4,0.0,0.0,0.0,0
anderch01w,5,6.983566433566434,0.0,0.0,0
anderch01w,6,7.11625,6.983566433566434,0.0,0
anderch01w,7,12.648215465961666,7.11625,6.983566433566434,0
anderch01w,8,16.59394409937888,12.648215465961666,7.11625,0
anderjo01w,9,0.0,0.0,0.0,0
anderke01w,1,0.0,0.0,0.0,0
anderke01w,2,11.921372549019608,0.0,0.0,0
anderke01w,3,3.194444444444444,11.921372549019608,0.0,0
andrame01w,1,0.0,0.0,0.0,0
andrame01w,2,20.329727564102562,0.0,0.0,0
andrame01w,3,17.685562865497076,20.329727564102562,0.0,0
andrame01w,5,11.678688063063063,17.685562865497076,20.329727564102562,0
anosini01w,9,0.0,0.0,0.0,0
anosini01w,10,30.430530973451326,0.0,0.0,0
anosini01w,11,36.93566037735849,30.430530973451326,0.0,0
appelja01w,11,0.0,0.0,0.0,0
arcaija01w,1,0.0,0.0,0.0,0
arcaija01w,2,21.140611587982832,0.0,0.0,0
arcaija01w,3,32.86326129666012,21.140611587982832,0.0,0
