playerID,year,best_overall_score,number_of_awards,alldecade
abrossv01w,,92.01470464835634,0,0
aldrima01w,,8.588250319284803,0,0
amachma01w,,6.685714285714285,0,0
anderch01w,,14.099816433566435,0,0
anderke01w,,15.115816993464053,0,0
andrame01w,,49.6939784926627,0,0
arcaija01w,,103.71454201371229,1,0
askamma01w,,33.9672801861629,0,0
azzije01w,,72.07023565504544,0,0
badertr01w,,14.56861403508772,0,0
baranel01w,,83.01386949205457,0,0
barksla01w,,17.69847408270239,0,0
barnead01w,,52.15442765567765,0,0
barnequ01w,,26.24977335674334,0,0
bauerca01w,,14.207804823078657,0,0
beardal01w,,29.74597523219814,0,0
berthlu01w,,18.283476523476523,0,0
beviltu01w,,65.66304272480188,0,0
birdsu01w,7.0,86.23541473477894,0,2
blackde01w,,76.91206550802139,1,0
blodgci01w,,7.365,0,0
blueoc01w,,2.8375,0,0
boltoru01w,7.0,77.0427959535365,0,1
brazian01w,,7.527551020408163,0,0
brondsa01w,,39.35360397786769,0,0
brownco01w,,22.936720172329927,0,0
browned01w,,45.55471799439702,0,0
brownki01w,,26.807553557553554,0,0
brownru01w,,57.20584444966798,0,0
brumfma01w,,20.23101164283095,0,0
brungje01w,,7.017514124293784,0,0
brunsre01w,,14.88781512605042,0,0
bullevi01w,,58.16440449431521,0,0
burgean01w,,31.280451481872753,0,0
burraal01w,,46.075873205110966,0,0
burseja01w,,51.78196846818388,0,0
byearla01w,,64.69219735011521,0,0
campbed01w,,76.62004584879864,1,0
cantydo01w,,84.09962549510522,0,0
cashsw01w,,98.85823792515377,0,0
castriz01w,,17.221236409686185,0,0
catchta01w,7.0,124.13441876558973,2,2
choneka01w,,7.412535612535612,0,0
chriska01w,,42.54094476291661,0,0
chrissh01w,,12.275276575276575,0,0
clearmi01w,,15.39861111111111,0,0
clinest01w,,14.254376325428955,0,0
colleka01w,,15.377858361774745,0,0
coopeca01w,,16.34166666666667,0,0
coopecy01w,7.0,30.946675444371298,1,2
crawlsy01w,,67.46024924763496,0,0
curryed01w,,7.6742857142857135,0,0
dalesst01w,,40.15451579127467,0,0
daleygr01w,,30.41638880228942,0,0
darlihe01w,,58.76270702926887,0,0
deforan01w,,68.52180205415499,0,0
derevje01w,,5.074916387959866,0,0
dickeke01w,,15.512191901408451,0,0
dillata01w,,11.831566641892728,0,0
dixonta01w,,119.64776347001768,0,0
dossaci01w,,26.957194760550024,0,0
douglka01w,,92.40101264452275,0,0
dydekma01w,,142.16994177161286,0,0
edwarmi01w,,12.799119067917022,0,0
edwarsi01w,,79.0403468020946,0,0
edwarte01w,,18.161764705882355,1,0
edwarto01w,,32.379661191569525,0,0
enissh01w,,47.91813399329223,0,0
erbsu01w,,20.31257094870699,0,0
farriba01w,,58.410566305813994,0,0
feastal01w,,106.88424271954685,0,0
ferdima01w,,101.66254922265176,0,0
figgsuk01w,,61.21098101539607,0,0
folklkr01w,,44.14847623478205,0,0
fordch01w,,59.244476901806266,1,0
fordki01w,,12.123412698412698,0,0
fordst01w,,13.2,0,0
frettla01w,,50.77633787398062,0,0
frohlli01w,,2.31875,0,0
gaithka01w,,7.033333333333333,0,0
gibsoke01w,,19.13202919016146,0,0
gilloje01w,,72.46506075225685,1,0
goodsad01w,,131.1196204426796,0,0
gortmsh01w,,18.852720329084356,0,0
grginve01w,,16.152405569341052,0,0
griffyo01w,7.0,185.10011496220207,1,2
groomla01w,,52.24556470611757,0,0
grubigo01w,,50.715858835367214,0,0
hallvi01w,,23.861260548523205,0,0
hammobe01w,,102.95788875658143,0,0
harrili01w,,76.75140494423806,0,0
harrokr01w,,38.675436590797226,0,0
haydeva01w,,13.644046844502277,0,0
hendetr01w,,6.828525980911984,0,0
henniso01w,,47.08984670070104,0,0
herriam01w,,22.928155913978493,0,0
hicksje01w,,47.06642512224199,0,0
hillec01w,,4.957142857142856,0,0
hledeko01w,,35.08755785509389,0,0
hodgedo01w,,6.968589743589744,0,0
hoffmeb01w,,9.695863453815264,0,0
holdsch01w,7.0,189.88181254766351,0,1
hollake01w,,78.79247773860367,0,0
ivanyda01w,,18.465740740740742,0,0
iveyni01w,,47.62289220992624,0,0
jacksde01w,,43.09357497288739,0,0
jacksgw01w,,32.711038423941645,0,0
jacksla01w,7.0,154.2466611366464,1,2
jacksta01w,,25.2427695732052,0,0
jacksta02w,,86.40428782409862,0,0
jacobam01w,,8.215625,0,0
johnsad01w,,34.52858228599946,0,0
johnsla01w,,29.054973956428057,0,0
johnspo01w,,47.127264920256906,0,0
johnssh01w,,133.31590409397114,0,0
johnsti01w,,62.39490680368859,0,0
johnsvi01w,,118.89634597243905,0,0
jonesas01w,,50.606467332234054,0,0
jonesch01w,,10.021265267773256,0,0
jonesme01w,,89.96461810456583,0,0
kingija01w,,16.238756677999028,0,0
klimezu01w,,3.0303030303030303,0,0
kubikni01w,,4.683333333333334,0,0
lambesh01w,,27.674523231651847,0,0
lassiam01w,,57.80475202388871,0,0
lawsoka01w,,34.824786478468035,0,0
lennobe01w,,109.22488911194345,2,0
leslili01w,7.0,203.7290794002123,7,2
lewisty01w,,45.19294280753361,0,0
lobore01w,,12.937472943722945,0,0
lovelst01w,,30.426085805371393,0,0
luzhe01w,,26.382884538950712,0,0
mabikmw01w,,143.61235936028123,0,0
macchla01w,,15.433660377358489,0,0
machacl01w,,29.336573390335534,0,0
mahonsh01w,,7.3614035087719305,0,0
maigaha01w,,28.894280596753696,0,0
malcona01w,,15.671089470480828,0,0
mapprh01w,,41.10634146341464,0,0
marcimi01w,,28.705321662583355,0,0
martima01w,,13.33960451977401,0,0
mascira01w,,6.294117647058823,0,0
maxwemo01w,,33.840392047335314,0,0
mazzake01w,,6.8136828644501275,0,0
mccaiti01w,,14.316483664107846,0,0
mccarst01w,,48.647619049661486,0,0
mccrani01w,,83.32646653260119,0,0
mccrini01w,,33.75708359101216,0,0
mcculda01w,,26.388959319359927,0,0
mcgheca01w,,13.772729890148831,0,0
mckivte01w,,25.980663541953867,0,0
mcwilta01w,,147.96894104929606,1,0
melvich01w,,122.35306410906617,0,0
milleco01w,,66.95185338276995,1,0
milleke01w,,59.778888147481325,1,0
millsta01w,,21.82019969278034,0,0
miltode01w,,136.64573884333157,0,0
moisead01w,,14.131746031746031,0,0
mooreta01w,,36.55351837002945,0,0
moweje01w,,11.559999999999999,0,0
nagyan01w,,23.482816411312513,0,0
ndiayas01w,,75.74980077742174,0,0
nemcoev01w,,23.77822299651568,0,0
nevescl01w,,25.765232302517617,0,0
ngoyibe01w,,8.285714285714285,0,0
nolande01w,,86.03240144215857,0,0
nygaava01w,,37.66461270720919,0,0
ohldeni01w,,25.292055003819712,0,0
owenssh01w,,12.147968480669785,0,0
pagemu01w,,102.50806187717953,0,0
palmewe01w,,109.16502944467746,1,0
pavlimi01w,,1.1700000000000002,0,0
